Role,Name,Email,Password
RECRUITER,Recruiter 1,recruiter1@example.com,Password123!
RECRUITER,Recruiter 2,recruiter2@example.com,Password123!
RECRUITER,Recruiter 3,recruiter3@example.com,Password123!
RECRUITER,Recruiter 4,recruiter4@example.com,Password123!
RECRUITER,Recruiter 5,recruiter5@example.com,Password123!
RECRUITER,Recruiter 6,recruiter6@example.com,Password123!
RECRUITER,Recruiter 7,recruiter7@example.com,Password123!
RECRUITER,Recruiter 8,recruiter8@example.com,Password123!
RECRUITER,Recruiter 9,recruiter9@example.com,Password123!
RECRUITER,Recruiter 10,recruiter10@example.com,Password123!
CANDIDATE,Candidate 1,candidate1@example.com,Password123!
CANDIDATE,Candidate 2,candidate2@example.com,Password123!
CANDIDATE,Candidate 3,candidate3@example.com,Password123!
CANDIDATE,Candidate 4,candidate4@example.com,Password123!
CANDIDATE,Candidate 5,candidate5@example.com,Password123!
CANDIDATE,Candidate 6,candidate6@example.com,Password123!
CANDIDATE,Candidate 7,candidate7@example.com,Password123!
CANDIDATE,Candidate 8,candidate8@example.com,Password123!
CANDIDATE,Candidate 9,candidate9@example.com,Password123!
CANDIDATE,Candidate 10,candidate10@example.com,Password123!
CANDIDATE,Candidate 11,candidate11@example.com,Password123!
CANDIDATE,Candidate 12,candidate12@example.com,Password123!
CANDIDATE,Candidate 13,candidate13@example.com,Password123!
CANDIDATE,Candidate 14,candidate14@example.com,Password123!
CANDIDATE,Candidate 15,candidate15@example.com,Password123!
